id,Distrito,Personas contagiadas,Incidencia*,Personas fallecidas
250202.0,SEPAHUA,57.0,648.61,
250201.0,RAIMONDI,465.0,1075.67,
250401.0,PURUS,,,
250203.0,TAHUANIA,43.0,369.16,
250204.0,YURUA,6.0,224.8,
250103.0,IPARIA,20.0,149.6,
250301.0,PADRE ABAD,611.0,1918.67,
250305.0,ALEXANDER VON HUMBOLDT,57.0,872.89,
250302.0,IRAZOLA,157.0,1167.11,
250104.0,MASISEA,144.0,1118.1,
250304.0,NESHUYA,163.0,1434.86,
250303.0,CURIMANA,56.0,485.86,
250107.0,MANANTAY,1915.0,1663.99,2.0
250105.0,YARINACOCHA,1763.0,1395.66,5.0
250101.0,CALLERIA,4360.0,2399.55,3.0
250102.0,CAMPOVERDE,221.0,1047.29,
250106.0,NUEVA REQUENA,232.0,3784.67,
,BOQUERON,20.0,385.58,
,HUIPOCA,15.0,344.27,1.0
